Name,,Org,Pos,,Current Level,Top 100,Org Rk,FV,,Age,Ht,Wt,Bat,Thr
Cionel Perez,,HOU,LHP,,MLB,0,3,45,,23.4,"5' 11""",170,L,L
Jordan Balazovic,,MIN,RHP,,AA,0,11,45,,21,"6' 4""",175,R,R
Bobby Dalbec,,BOS,3B,,AAA,0,4,45,,24.2,"6' 4""",225,R,R
Freudis Nova,,HOU,SS,,A,0,4,45,,19.7,"6' 1""",180,R,R
Jarren Duran,,BOS,CF,,AA,0,5,45,,23.1,"6' 2""",200,L,R
Bryan Abreu,,HOU,RHP,,MLB,0,5,45,,22.4,"6' 1""",175,R,R
Brandon Bielak,,HOU,RHP,,AAA,0,6,45,,23.4,"6' 1""",210,R,R
Esteury Ruiz,,SDP,2B,,A+,0,13,45,,20.6,"6' 0""",150,R,R
Reggie Lawson,,SDP,RHP,,AA,0,14,45,,22.2,"6' 4""",205,R,R
Austin Allen,,SDP,C,,MLB,0,15,45,,25.7,"6' 2""",220,L,R
Michel Baez,,SDP,RHP,,MLB,0,16,45,,23.7,"6' 8""",220,R,R
Anderson Espinoza,,SDP,RHP,,,0,17,45,,21.5,"6' 0""",170,R,R
Cole Roederer,,CHC,CF,,A,0,7,45,,20,"6' 0""",175,L,L
Anthony Kay,,TOR,LHP,,MLB,0,5,45,,24.5,"6' 0""",218,L,L
Justin Steele,,CHC,LHP,,AA,0,8,45,,24.2,"6' 2""",195,L,L
Adam Kloffenstein,,TOR,RHP,,A-,0,6,45,,19.1,"6' 5""",220,R,R
Eric Pardinho,,TOR,RHP,,A,0,7,45,,18.7,"5' 10""",170,R,R
Shervyen Newton,,NYM,SS,,A,0,5,45,,20.4,"6' 4""",180,S,R
David Peterson,,NYM,LHP,,AA,0,6,45,,24.1,"6' 6""",240,L,L
Matthew Allan,,NYM,RHP,,,0,7,45,,18.4,"6' 3""",210,R,R
Nick Pratto,,KCR,1B,,A+,0,4,45,,21,"6' 1""",195,L,L
Thomas Szapucki,,NYM,LHP,,AA,0,8,45,,23.3,"6' 2""",190,R,L
Khalil Lee,,KCR,RF,,AA,0,5,45,,21.3,"5' 10""",190,L,L
Kris Bubic,,KCR,LHP,,A+,0,6,45,,22.1,"6' 3""",220,L,L
Jackson Kowar,,KCR,RHP,,AA,0,7,45,,23,"6' 5""",180,R,R
Kyle Isbel,,KCR,RF,,A+,0,8,45,,22.6,"5' 11""",190,L,R
Noelvi Marte,,SEA,SS,,R,0,9,40+,,17.9,"6' 1""",180,R,R
Jake Fraley,,SEA,LF,,MLB,0,10,40+,,24.3,"6' 0""",195,L,L
Cal Raleigh,,SEA,C,,AA,0,11,40+,,22.8,"6' 3""",225,R,R
Sam Carlson,,SEA,RHP,,A,0,12,40+,,20.8,"6' 4""",195,R,R
Zack Collins,,CHW,1B,,MLB,0,9,40+,,24.6,"6' 3""",220,L,R
Osiel Rodriguez,,NYY,RHP,,R,0,14,40+,,17.8,"6' 3""",205,R,R
Micker Adolfo,,CHW,RF,,R,0,10,40+,,23,"6' 3""",200,R,R
Steele Walker,,CHW,LF,,A+,0,11,40+,,23.2,"5' 11""",190,L,L
Kyren Paris,,LAA,SS,,R,0,8,40+,,17.9,"6' 0""",170,R,R
D'Shawn Knowles,,LAA,CF,,R,0,9,40+,,18.7,"6' 0""",165,S,R
Chris Rodriguez,,LAA,RHP,,A+,0,10,40+,,21.2,"6' 1""",185,R,R
Trent Deveaux,,LAA,CF,,R,0,11,40+,,19.4,"6' 2""",160,R,R
Stiward Aquino,,LAA,RHP,,R,0,12,40+,,20.3,"6' 6""",190,R,R
Sean Hjelle,,SFG,RHP,,AA,0,9,40+,,22.4,"6' 11""",215,R,R
Melvin Adon,,SFG,RHP,,AAA,0,10,40+,,25.3,"6' 3""",235,R,R
P.J. Hilson,,SFG,CF,,R,0,11,40+,,19.1,"5' 11""",175,R,R
Luis Matos,,SFG,CF,,R,0,12,40+,,17.7,"5' 11""",160,R,R
Joe McCarthy,,SFG,LF,,AAA,0,13,40+,,25.6,"6' 3""",225,L,L
Camilo Doval,,SFG,RHP,,A+,0,14,40+,,22.2,"6' 2""",185,R,R
Lyon Richardson,,CIN,RHP,,A,0,11,40+,,19.7,"6' 2""",185,S,R
DJ Peters,,LAD,CF,,AAA,0,11,40+,,23.8,"6' 6""",225,R,R
Luis Rodriguez,,LAD,CF,,,0,12,40+,,17,"6' 2""",175,R,R
Lazaro Armenteros,,OAK,LF,,A+,0,8,40+,,20.3,"6' 0""",182,R,R
Dennis Santana,,LAD,RHP,,AAA,0,13,40+,,23.5,"6' 2""",160,R,R
Sheldon Neuse,,OAK,3B,,MLB,0,9,40+,,24.8,"6' 0""",195,R,R
Connor Wong,,LAD,C,,AA,0,14,40+,,23.4,"6' 1""",180,R,R
Nick Allen,,OAK,SS,,A+,0,10,40+,,21,"5' 9""",155,R,R
Jacob Amaya,,LAD,SS,,A+,0,15,40+,,21.1,"6' 0""",180,R,R
Alex De Jesus,,LAD,3B,,R,0,16,40+,,17.5,"6' 2""",170,R,R
Andy Pages,,LAD,RF,,R,0,17,40+,,18.8,"6' 1""",180,R,R
Jeren Kendall,,LAD,CF,,A+,0,18,40+,,23.6,"6' 0""",190,L,R
Elehuris Montero,,STL,3B,,AA,0,5,40+,,21.1,"6' 3""",195,R,R
Ivan Herrera,,STL,C,,A+,0,6,40+,,19.3,"6' 0""",180,R,R
Lane Thomas,,STL,CF,,MLB,0,7,40+,,24.1,"6' 1""",210,R,R
Jhon Torres,,STL,RF,,R,0,8,40+,,19.5,"6' 4""",200,R,R
Trejyn Fletcher,,STL,CF,,R,0,9,40+,,18.4,"6' 2""",190,R,R
Ramon Urias,,STL,2B,,AAA,0,10,40+,,25.3,"5' 10""",150,R,R
Matt Tabor,,ARI,RHP,,A,0,14,40+,,21.2,"6' 2""",180,R,R
Drey Jameson,,ARI,RHP,,A-,0,15,40+,,22.1,"6' 0""",165,R,R
Wilderd Patino,,ARI,CF,,R,0,16,40+,,18.2,"6' 1""",175,R,R
Blaze Alexander,,ARI,SS,,A,0,17,40+,,20.3,"6' 1""",175,R,R
Junior Sanquintin,,CLE,SS,,R,0,15,40+,,17.7,"6' 0""",180,S,R
Alvin Guzman,,ARI,CF,,R,0,18,40+,,17.9,"6' 1""",165,R,R
Gabriel Rodriguez,,CLE,SS,,R,0,16,40+,,17.6,"6' 2""",175,R,R
Jake McCarthy,,ARI,CF,,A+,0,19,40+,,22.2,"6' 2""",195,L,L
Will Benson,,CLE,RF,,A+,0,17,40+,,21.3,"6' 5""",225,L,L
Ethan Hankins,,CLE,RHP,,A,0,18,40+,,19.3,"6' 6""",200,R,R
Jordan Holloway,,MIA,RHP,,A+,0,14,40+,,23.3,"6' 4""",190,R,R
Jorge Guzman,,MIA,RHP,,AA,0,15,40+,,23.7,"6' 2""",182,R,R
Mickey Moniak,,PHI,CF,,AA,0,10,40+,,21.4,"6' 2""",185,L,R
Rafael Marchan,,PHI,C,,A+,0,11,40+,,20.6,"5' 9""",170,S,R
Mauricio Llovera,,PHI,RHP,,AA,0,12,40+,,23.4,"5' 11""",200,R,R
Johan Rojas,,PHI,CF,,A-,0,13,40+,,19.1,"6' 1""",170,R,R
Grant Lavigne,,COL,1B,,A,0,6,40+,,20.1,"6' 4""",230,L,R
Michael Toglia,,COL,1B,,A-,0,7,40+,,21.1,"6' 4""",205,S,L
Terrin Vavra,,COL,2B,,A,0,8,40+,,22.4,"6' 0""",190,L,R
Jose De Leon,,TBR,RHP,,MLB,0,20,40+,,27.1,"6' 2""",220,R,R
Ryan Castellani,,COL,RHP,,AAA,0,9,40+,,23.5,"6' 4""",193,R,R
Drew Strotman,,TBR,RHP,,A+,0,21,40+,,23.1,"6' 3""",195,R,R
Aaron Schunk,,COL,3B,,A-,0,10,40+,,22.2,"6' 2""",203,R,R
Garrett Whitley,,TBR,CF,,A+,0,22,40+,,22.5,"6' 0""",200,R,R
Riley Pint,,COL,RHP,,A,0,11,40+,,21.9,"6' 4""",210,R,R
Tanner Dodson,,TBR,RHP/CF,,A+,0,23,40+,,22.4,"6' 1""",170,S,R
Julio Carreras,,COL,SS,,R,0,12,40+,,19.7,"6' 1""",166,R,R
Alex Jackson,,ATL,C,,MLB,0,9,40+,,23.8,"6' 2""",220,R,R
Braden Shewmake,,ATL,SS,,AA,0,10,40+,,21.9,"6' 4""",180,L,R
Greyson Jenista,,ATL,RF,,AA,0,11,40+,,22.8,"6' 4""",240,L,R
Jasseel De La Cruz,,ATL,RHP,,AA,0,12,40+,,22.3,"6' 1""",175,R,R
Ethan Small,,MIL,LHP,,A,0,5,40+,,22.6,"6' 3""",214,L,L
Aaron Ashby,,MIL,LHP,,A+,0,6,40+,,21.3,"6' 1""",170,L,L
Sammy Siani,,PIT,CF,,R,0,9,40+,,18.8,"5' 11""",175,L,L
Jared Oliva,,PIT,CF,,AA,0,10,40+,,23.8,"6' 3""",187,R,R
Lolo Sanchez,,PIT,CF,,A+,0,11,40+,,20.4,"6' 0""",150,R,R
Luis Escobar,,PIT,RHP,,AAA,0,12,40+,,23.3,"6' 1""",160,R,R
Parker Meadows,,DET,CF,,A,0,11,40+,,19.9,"6' 4""",195,L,R
Jake Rogers,,DET,C,,MLB,0,12,40+,,24.4,"6' 1""",190,R,R
Alex Faedo,,DET,RHP,,AA,0,13,40+,,23.9,"6' 5""",230,R,R
Nick Quintana,,DET,3B,,A-,0,14,40+,,22,"6' 0""",185,R,R
Gunnar Henderson,,BAL,3B,,R,0,12,40+,,18.2,"6' 3""",195,L,R
Adam Hall,,BAL,SS,,A,0,13,40+,,20.3,"6' 0""",170,R,R
Michael Baumann,,BAL,RHP,,AA,0,14,40+,,24,"6' 4""",225,R,R
Brenan Hanifee,,BAL,RHP,,A+,0,15,40+,,21.3,"6' 5""",180,R,R
Jonathan Ornelas,,TEX,SS,,A,0,13,40+,,19.3,"6' 0""",170,R,R
Chris Seise,,TEX,SS,,A,0,14,40+,,20.7,"6' 2""",175,R,R
Keithron Moss,,TEX,CF,,R,0,15,40+,,18.1,"5' 11""",165,S,R
Tyler Phillips,,TEX,RHP,,AA,0,16,40+,,21.9,"6' 5""",200,R,R
Bayron Lora,,TEX,LF,,,0,17,40+,,17,"6' 4""",220,R,R
Ronny Henriquez,,TEX,RHP,,A,0,18,40+,,19.3,"5' 10""",155,R,R
Emmanuel Clase,,TEX,RHP,,MLB,0,19,40+,,21.5,"6' 2""",206,R,R
Davis Wendzel,,TEX,3B,,A-,0,20,40+,,22.3,"6' 0""",205,R,R
Brock Burke,,TEX,LHP,,MLB,0,21,40+,,23.1,"6' 4""",200,L,L
Owen White,,TEX,RHP,,,0,22,40+,,20.1,"6' 3""",175,R,R
Sam Huff,,TEX,C,,A+,0,23,40+,,21.7,"6' 4""",230,R,R
Heriberto Hernandez,,TEX,RF,,A-,0,24,40+,,19.8,"6' 1""",180,R,R
Matt Wallner,,MIN,RF,,A,0,12,40+,,21.8,"6' 4""",220,L,R
Brent Rooker,,MIN,1B,,R,0,13,40+,,24.9,"6' 3""",215,R,R
Antoni Flores,,BOS,SS,,A-,0,6,40+,,19,"6' 1""",190,R,R
Nick Decker,,BOS,RF,,A-,0,7,40+,,20,"6' 0""",200,L,L
Luis Santana,,HOU,2B,,A-,0,7,40+,,20.2,"5' 8""",175,R,R
Cameron Cannon,,BOS,3B,,A-,0,8,40+,,21.9,"5' 10""",196,R,R
Korey Lee,,HOU,C,,A-,0,8,40+,,21.2,"6' 1""",205,R,R
Tanner Houck,,BOS,RHP,,AAA,0,9,40+,,23.2,"6' 5""",220,R,R
Tyler Ivey,,HOU,RHP,,AA,0,9,40+,,23.4,"6' 4""",195,R,R
Jay Groome,,BOS,LHP,,A-,0,10,40+,,21.1,"6' 5""",220,L,L
Rogelio Armenteros,,HOU,RHP,,AAA,0,10,40+,,25.2,"6' 1""",215,R,R
Noah Song,,BOS,RHP,,A-,0,11,40+,,22.3,"6' 4""",200,R,R
Jairo Solis,,HOU,RHP,,A,0,11,40+,,19.8,"6' 2""",160,R,R
Cristian Javier,,HOU,RHP,,AAA,0,12,40+,,22.5,"6' 1""",170,R,R
Ronnie Dawson,,HOU,CF,,AAA,0,13,40+,,24.4,"6' 2""",225,L,R
Gabriel Arias,,SDP,SS,,A+,0,18,40+,,19.6,"6' 1""",185,R,R
Andres Munoz,,SDP,RHP,,MLB,0,19,40+,,20.7,"6' 2""",190,R,R
Mason Thompson,,SDP,RHP,,A+,0,20,40+,,21.6,"6' 6""",190,R,R
Zack Short,,CHC,SS,,AAA,0,9,40+,,24.3,"5' 10""",175,R,R
Richard Gallardo,,CHC,RHP,,A-,0,10,40+,,18.1,"6' 1""",187,R,R
Gabriel Moreno,,TOR,C,,A,0,8,40+,,19.6,"5' 11""",160,R,R
Alejandro Kirk,,TOR,C,,A+,0,9,40+,,20.9,"5' 9""",220,R,R
Desmond Lindsay,,NYM,CF,,A+,0,9,40+,,22.7,"6' 0""",200,R,R
Francisco Alvarez,,NYM,C,,R,0,10,40+,,17.9,"5' 11""",220,R,R
Erick Pena,,KCR,RF,,,0,9,40+,,16.6,"6' 3""",180,L,R
Seuly Matias,,KCR,RF,,R,0,10,40+,,21.1,"6' 3""",200,R,R
MJ Melendez,,KCR,C,,A+,0,11,40+,,20.8,"6' 1""",185,L,L
Richard Lovelady,,KCR,LHP,,AAA,0,12,40+,,24.2,"6' 0""",175,L,L
Luis Verdugo,,CHC,SS,,R,0,30,40,,19,"6' 0""",172,R,R
Yefri Del Rosario,,KCR,RHP,,,0,17,40,,20,"6' 2""",180,R,R
Samad Taylor,,TOR,2B,,A+,0,28,40,,21.2,"5' 10""",160,R,R
Benjamin Rodriguez,,CHC,RHP,,R,0,31,40,,20.2,"6' 1""",165,R,R
Kelvin Gutierrez,,KCR,3B,,MLB,0,18,40,,25.1,"6' 3""",185,R,R
Tanner Morris,,TOR,LF,,A-,0,29,40,,22.1,"6' 2""",190,L,R
Trent Giambrone,,CHC,2B,,AAA,0,32,40,,25.8,"5' 8""",175,R,R
Emmanuel Rivera,,KCR,3B,,AA,0,19,40,,23.2,"6' 2""",195,R,R
Jonathan Sierra,,CHC,RF,,A,0,33,40,,20.9,"6' 3""",225,L,L
Foster Griffin,,KCR,LHP,,AAA,0,20,40,,24.2,"6' 3""",200,R,L
Nelson Velazquez,,CHC,LF,,A,0,34,40,,20.8,"6' 0""",190,R,R
Jonathan Bowlan,,KCR,RHP,,A+,0,21,40,,22.8,"6' 6""",262,R,R
Grant Gambrell,,KCR,RHP,,R,0,22,40,,21.8,"6' 4""",225,L,R
Alec Marsh,,KCR,RHP,,R,0,23,40,,21.4,"6' 2""",220,R,R
Daniel Tillo,,KCR,LHP,,AA,0,24,40,,23.3,"6' 5""",215,L,L
Noah Murdock,,KCR,RHP,,R,0,25,40,,21.1,"6' 8""",190,R,R
Braden Bishop,,SEA,CF,,MLB,0,13,40,,26.1,"6' 1""",190,R,R
Gerson Garabito,,KCR,RHP,,AA,0,26,40,,24.1,"6' 0""",180,R,R
Wyatt Mills,,SEA,RHP,,AA,0,14,40,,24.7,"6' 3""",175,R,R
Carlos Hernandez,,KCR,RHP,,A,0,27,40,,22.5,"6' 4""",175,R,R
Isaiah Campbell,,SEA,RHP,,,0,15,40,,22.1,"6' 4""",225,R,R
Dom Thompson-Williams,,SEA,LF,,AA,0,16,40,,24.4,"6' 0""",190,L,L
Juan Querecuto,,SEA,SS,,R,0,17,40,,19,"6' 2""",175,R,R
Juan Then,,SEA,RHP,,A,0,18,40,,19.6,"6' 1""",155,R,R
Gerson Bautista,,SEA,RHP,,AAA,0,19,40,,24.3,"6' 4""",195,R,R
Joey Gerber,,SEA,RHP,,AA,0,20,40,,22.4,"6' 4""",215,R,R
Brandon Williamson,,SEA,LHP,,A-,0,21,40,,21.5,"6' 6""",210,L,L
Carter Bins,,SEA,C,,A-,0,22,40,,21.4,"6' 0""",200,R,R
Tim Cate,,WSN,LHP,,A+,0,6,40,,22,"6' 0""",170,L,L
Anthony Misiewicz,,SEA,LHP,,AAA,0,23,40,,24.9,"6' 1""",190,R,L
Yasel Antuna,,WSN,3B,,R,0,7,40,,19.9,"6' 0""",170,S,R
Drew Mendoza,,WSN,3B,,A,0,8,40,,22,"6' 4""",190,L,R
Seth Romero,,WSN,LHP,,A,0,9,40,,23.4,"6' 3""",240,L,L
Israel Pineda,,WSN,C,,A,0,10,40,,19.5,"5' 11""",190,R,R
Alexander Vizcaino,,NYY,RHP,,A+,0,15,40,,22.3,"6' 2""",160,R,R
Gage Canning,,WSN,CF,,A+,0,11,40,,22.4,"5' 11""",178,L,R
Oswald Peraza,,NYY,SS,,A,0,16,40,,19.3,"6' 0""",176,R,R
James Bourque,,WSN,RHP,,AAA,0,12,40,,26.2,"6' 4""",190,R,R
Matthew Thompson,,CHW,RHP,,,0,12,40,,19.1,"6' 3""",184,R,R
Anthony Garcia,,NYY,RF,,R,0,17,40,,19.1,"6' 5""",205,S,R
Matt Cronin,,WSN,LHP,,A,0,13,40,,22,"6' 2""",197,L,L
Andrew Dalquist,,CHW,RHP,,,0,13,40,,18.9,"6' 2""",170,R,R
Nick Nelson,,NYY,RHP,,AAA,0,18,40,,23.8,"6' 1""",195,R,R
Sterling Sharp,,WSN,RHP,,AA,0,14,40,,24.3,"6' 4""",185,R,R
Jonathan Stiever,,CHW,RHP,,A+,0,14,40,,22.4,"6' 2""",205,R,R
Albert Abreu,,NYY,RHP,,AA,0,19,40,,24,"6' 2""",175,R,R
Malvin Pena,,WSN,RHP,,A+,0,15,40,,22.3,"6' 2""",180,R,R
Alec Hansen,,CHW,RHP,,AA,0,15,40,,25,"6' 7""",240,R,R
Ryder Green,,NYY,RF,,R,0,20,40,,19.4,"6' 2""",195,R,R
Telmito Agustin,,WSN,LF,,A+,0,16,40,,23,"5' 10""",190,L,L
Seby Zavala,,CHW,C,,AAA,0,16,40,,26.1,"6' 0""",215,R,R
Ezequiel Duran,,NYY,2B,,A-,0,21,40,,20.3,"5' 11""",185,R,R
Jake Burger,,CHW,3B,,A,0,17,40,,23.5,"6' 2""",210,R,R
Maikol Escotto,,NYY,SS,,R,0,22,40,,17.3,"5' 11""",180,R,R
Konnor Pilkington,,CHW,LHP,,A+,0,18,40,,22,"6' 3""",228,L,L
Raimfer Salinas,,NYY,CF,,R,0,23,40,,18.7,"6' 0""",175,R,R
Tyler Johnson,,CHW,RHP,,AA,0,19,40,,24.1,"6' 3""",205,R,R
Josh Breaux,,NYY,C,,A,0,24,40,,22,"6' 1""",220,R,R
Gavin Sheets,,CHW,1B,,AA,0,20,40,,23.4,"6' 4""",230,L,L
Antonio Gomez,,NYY,C,,R,0,25,40,,17.9,"6' 2""",205,R,R
Danny Mendick,,CHW,SS,,MLB,0,21,40,,26,"5' 10""",190,R,R
Josh Smith,,NYY,2B,,A-,0,26,40,,22.1,"5' 10""",175,L,R
Luis Mieses,,CHW,CF,,R,0,22,40,,19.3,"6' 3""",180,L,L
T.J. Sikkema,,NYY,LHP,,R,0,27,40,,21.2,"6' 0""",221,L,L
Yolbert Sanchez,,CHW,SS,,,0,23,40,,22.6,"6' 2""",190,R,R
Thairo Estrada,,NYY,SS,,MLB,0,28,40,,23.6,"5' 10""",185,R,R
Codi Heuer,,CHW,RHP,,AA,0,24,40,,23.2,"6' 5""",195,R,R
Pablo Olivares,,NYY,CF,,A+,0,29,40,,21.7,"6' 0""",160,R,R
Patrick Sandoval,,LAA,LHP,,MLB,0,13,40,,22.9,"6' 3""",190,L,L
Oswaldo Cabrera,,NYY,2B,,A+,0,30,40,,20.6,"5' 10""",145,S,R
Leonardo Rivas,,LAA,2B,,A+,0,14,40,,22,"5' 10""",150,S,R
Frank German,,NYY,RHP,,A+,0,31,40,,22,"6' 2""",195,R,R
Arol Vera,,LAA,SS,,,0,15,40,,17,"6' 2""",170,S,R
Josh Stowers,,NYY,CF,,A,0,32,40,,22.6,"6' 0""",205,R,R
Michael Hermosillo,,LAA,RF,,MLB,0,16,40,,24.7,"5' 10""",190,R,R
Matt Sauer,,NYY,RHP,,A,0,33,40,,20.7,"6' 4""",195,R,R
Livan Soto,,LAA,SS,,A,0,17,40,,19.3,"6' 0""",160,L,R
Canaan Smith,,NYY,LF,,A,0,34,40,,20.4,"6' 0""",215,L,R
Luis Madero,,LAA,RHP,,AA,0,18,40,,22.4,"6' 3""",175,R,R
Trevor Stephan,,NYY,RHP,,AA,0,35,40,,23.8,"6' 4""",210,R,R
Jack Kochanowicz,,LAA,RHP,,,0,19,40,,18.8,"6' 6""",207,R,R
Michael King,,NYY,RHP,,MLB,0,36,40,,24.3,"6' 3""",210,R,R
Aaron Hernandez,,LAA,RHP,,A+,0,20,40,,22.8,"6' 2""",175,R,R
Jake Agnos,,NYY,LHP,,R,0,37,40,,21.3,"5' 11""",206,L,L
Hector Yan,,LAA,LHP,,A,0,21,40,,20.4,"5' 11""",180,L,L
Yoendrys Gomez,,NYY,RHP,,A,0,38,40,,19.9,"6' 3""",175,R,R
Alexander Ramirez,,LAA,RF,,R,0,22,40,,17.1,"6' 2""",180,R,R
Miguel Yajure,,NYY,RHP,,AA,0,39,40,,21.4,"6' 1""",175,R,R
Sadrac Franco,,LAA,RHP,,R,0,23,40,,19.3,"6' 0""",155,R,R
William Holmes,,LAA,RHP/CF,,R,0,24,40,,18.8,"6' 3""",185,R,R
Kevin Maitan,,LAA,3B,,A,0,25,40,,19.6,"6' 2""",190,S,R
Seth Corry,,SFG,LHP,,A,0,15,40,,20.9,"6' 2""",195,L,L
Garrett Stallings,,LAA,RHP,,,0,26,40,,22.1,"6' 2""",200,R,R
Luis Toribio,,SFG,3B,,A-,0,16,40,,19,"6' 1""",210,L,R
Jack Kruger,,LAA,C,,AA,0,27,40,,24.9,"6' 1""",200,R,R
Jairo Pomares,,SFG,CF,,A-,0,17,40,,19.1,"6' 1""",185,L,R
Jake Jewell,,LAA,RHP,,MLB,0,29,40,,26.4,"6' 3""",200,R,R
Ricardo Genoves,,SFG,C,,A,0,18,40,,20.4,"6' 2""",210,R,R
Kyle Bradish,,LAA,RHP,,A+,0,30,40,,23,"6' 4""",190,R,R
